"10","3","1","stg03","4","20","36780","36780","51302","51302"
"10","10","1","stg10","4","20","43184","43184","50331","50331"
"20","2","1","player1010","4","30","52875","52875","60155","60155"
"20","3","1","player1020","4","30","22961","22961","3371","3371"
"20","4","1","player1030","4","30","53973","53973","10411","10411"
"20","5","1","player1040","4","30","7220","7220","64805","64805"
"20","7","1","player2020","4","30","56933","56933","521","521"
"20","11","1","player2070","4","30","33505","33505","57835","57835"
"20","12","1","player3000","4","30","56007","56007","17937","17937"
"20","13","1","player3010","4","30","20625","20625","9856","9856"
"20","14","1","player3020","4","30","942","942","31592","31592"
"20","15","1","player3030","4","30","12188","12188","52943","52943"
"20","17","1","player2090","4","30","53734","53734","34028","34028"
"20","18","1","player5000","4","30","35206","35206","63730","63730"
"20","19","1","player5010","4","30","35383","35383","29877","29877"
"20","47","1","player5290","4","30","19277","19277","49931","49931"
"21","1","2","cosplayatlas_1","4","40","20529","20529","10016","10016"
"21","2","2","cosplayatlas_2","4","40","55551","55551","15283","15283"
"30","2","1","supporter2000","4","10","7605","7605","43449","43449"
"30","3","1","supporter3000","4","10","62869","62869","6937","6937"
"30","4","1","supporter4000","4","10","48653","48653","41328","41328"
"31","1","2","supporteratlas_1","4","40","36036","36036","55591","55591"
"50","1","2","gameuiatlasen","8","100","31630","31630","30952","30952"
"50","3","2","battlespeedframeatlasen","8","100","64817","64817","751","751"
"50","5","2","battletagatlasen","8","100","14452","14452","61107","61107"
"50","7","2","battleuien","8","100","63506","63506","31692","31692"
"50","9","2","battleitemen","8","100","59278","59278","2897","2897"
