"1000","1","1","Usual","Shin-chan","Easygoing 5-year-old preschooler who loves pretty ladies and Chocobi!","5","0","1","1","100","50","10"
"1010","1","1","Kindergarten","Shin-chan","Shin-chan wearing a kindergarten smock.","6","0","1","2","100","50","10"
"1020","1","1","Pajamas","Shin-chan","Shin-chan wearing pajamas. He’s a little sleepy.","7","0","1","3","100","50","10"
"1030","1","1","Commuter","Shin-chan","Shin-chan wearing a kindergarten commuting uniform.","8","0","1","4","100","50","10"
"1040","1","1","Bug Catcher","Shin-chan","Shin-chan wearing a straw hat and backpack to go bug catching.","9","0","1","5","100","50","10"
"2020","1","2","Grampa","Shin-chan","Shin-chan dressed as the grampa from the Japanese tale “Hanasaka Grampa”.","109","0","1","7","100","50","10"
"2070","1","2","Penguin","Shin-chan","Shin-chan dressed as a cute penguin.","105","0","1","11","100","50","10"
"2090","1","2","Ballerina","Shin-chan","Shin-chan dressed up as a twirling ballerina.","106","0","1","13","100","50","10"
"3000","1","3","Kasukabe Red","Shin-chan","Shin-chan wearing the red costume of the Kasukabe Defense Corp.","205","0","1","14","100","50","10"
"3010","1","3","Chocobi","Shin-chan","Shin-chan in a Mr. Crocoyama costume, the Chocobi mascot.","206","0","1","15","100","50","10"
"3020","1","3","Kantam","Shin-chan","Shin-chan dressed as “Kantam Robo” from the robot animation series he’s addicted to.","207","0","1","16","100","50","10"
"3030","1","3","Action Mask","Shin-chan","Shin-chan dressed up as Hero of Justice, “Action Mask”.","208","0","1","17","100","50","10"
"5000","1","2","Raincoat","Shin-chan","Rainy days are of no concern! Shin-chan wearing his raincoat.","107","0","1","18","100","50","10"
"5010","1","2","Patissier","Shin-chan","Shin-chan dressed as a sweets-baking patissier.","108","0","1","19","100","50","10"
"5290","1","3","Shiro","Shin-chan","Shin-chan dressed up as his beloved fluffy dog, Shiro.","209","0","2","11","100","50","10"
