"1000","1","20","3000","3000"
"1010","1","870","2000","2000"
"1020","1","110","30","30"
"1030","1","80","50","13"
"1040","1","30","1000","1000"
"2020","1","580","1200","600"
"2020","2","100","200","25"
"2020","11","5180","1","0"
"2060","1","360","80","80"
"2060","2","160","100","25"
"2060","11","5330","1","0"
"2070","1","130","100","0"
"2070","2","50","200","50"
"2070","11","130","100","0"
"2090","1","40","2000","2000"
"2090","2","80","100","25"
"2090","11","5170","500","10"
"3000","1","120","1","0"
"3000","2","150","6000","6000"
"3000","3","160","200","50"
"3000","11","5030","1000","20"
"3000","12","160","150","3"
"3010","1","120","1","0"
"3010","2","20","20000","20000"
"3010","3","50","500","125"
"3010","11","5160","1000","20"
"3010","12","90","150","3"
"3020","1","120","1","0"
"3020","2","580","3600","1800"
"3020","3","100","400","50"
"3020","11","5110","500","10"
"3020","12","90","1","0"
"3030","1","140","0","0"
"3030","2","30","8000","8000"
"3030","3","360","320","320"
"3030","11","140","0","10"
"3030","12","5170","1000","20"
"5000","1","10","1000","1000"
"5000","2","70","100","25"
"5000","11","5020","500","10"
"5010","1","890","2000","2000"
"5010","2","170","100","50"
"5010","11","5040","500","10"
"5080","1","170","30","15"
"5090","1","60","100","25"
"5100","1","900","1000","1000"
"5140","1","120","1","0"
"5140","2","180","2000","2000"
"5140","3","40","8000","8000"
"5140","11","5320","1","0"
"5140","12","5080","1000","20"
"5270","1","60","300","75"
"5270","2","90","100","25"
"5270","11","5100","500","10"
"5290","1","120","1","0"
"5290","2","10","4000","4000"
"5290","3","60","600","150"
"5290","11","5030","1000","20"
"5290","12","5090","1000","20"
"5370","1","150","1000","1000"
"5370","2","110","150","150"
"5370","11","5160","500","10"
"5420","1","120","1","0"
"5420","2","170","300","150"
"5420","3","940","200","50"
"5420","11","5010","1000","20"
"5420","12","5170","1000","20"
"5440","1","120","1","0"
"5440","2","880","16000","16000"
"5440","3","130","100","0"
"5440","11","130","100","0"
"5440","12","5070","1000","20"
