"10","1001","1"
"20","1004","1"
"30","1011","1"
"40","1002","1"
"50","1008","1"
"60","1009","1"
"70","2002","1"
"80","2001","1"
"90","2003","1"
"100","2004","1"
"110","5002","1"
"120","3001","1"
"130","6001","1"
"140","6002","1"
"150","1003","1"
"160","2005","1"
"170","1010","1"
"180","1006","1"
"190","5003","1"
"200","1004","2"
"200","1005","1"
"210","1001","2"
"210","6003","1"
"230","1011","2"
"230","6003","1"
"240","1002","2"
"240","6003","1"
"250","1003","2"
"250","6003","1"
"260","5001","1"
"270","4003","1"
"280","4001","1"
"290","4002","1"
"300","4004","1"
"310","1007","1"
"320","6004","1"
"330","6005","1"
"340","6006","1"
"350","6007","1"
"360","1012","1"
"370","6008","1"
"380","6009","1"
"390","6010","1"
"400","6011","1"
"410","6012","1"
"420","6013","1"
"430","2006","1"
"440","6014","1"
"450","6015","1"
"460","6016","1"
"470","6017","1"
"480","6018","1"
"490","6019","1"
"500","6020","1"
"510","6021","1"
"520","6022","1"
"530","6023","1"
"540","6024","1"
"550","6025","1"
"560","6026","1"
"570","6027","1"
"580","6028","1"
"590","6029","1"
"600","6030","1"
"610","6031","1"
"620","6032","1"
"630","6033","1"
"640","6034","1"
"650","6035","1"
"660","6036","1"
"670","6037","1"
"680","6038","1"
"690","6039","1"
"700","6040","1"
"710","6041","1"
"720","6042","1"
"730","6043","1"
"740","6044","1"
"750","6045","1"
"760","6046","1"
"770","6047","1"
"780","6048","1"
"790","6049","1"
"800","6050","1"
"810","6051","1"
"820","6052","1"
"830","6053","1"
"840","6054","1"
"850","6055","1"
"860","6056","1"
"870","6057","1"
"880","6058","1"
"890","6059","1"
"900","6060","1"
"910","6061","1"
"920","6062","1"
"930","6063","1"
"940","6064","1"
"950","6065","1"
"960","6066","1"
"970","6067","1"
"980","6068","1"
"990","6069","1"
"1000","6070","1"
"1010","6071","1"
"1020","6072","1"
"1030","6073","1"
"1040","6074","1"
"1050","6075","1"
"1060","6076","1"
"1070","6077","1"
"1080","6078","1"
"1090","6079","1"
"1100","6080","1"
"1110","6081","1"
"1120","6082","1"
"1130","6083","1"
"1140","6084","1"
"1150","6085","1"
"1160","6086","1"
"1170","6087","1"
"1180","6088","1"
"1190","6089","1"
"1200","6090","1"
"1210","6091","1"
"1220","6092","1"
"1230","6093","1"
"1240","6094","1"
"5010","55001","1"
"5020","55002","1"
"5030","55003","1"
"5040","55004","1"
"5050","55005","1"
"5060","55006","1"
"5070","55007","1"
"5080","55008","1"
"5090","55009","1"
"5100","55010","1"
"5110","55011","1"
"5120","55012","1"
"5130","55013","1"
"5140","55014","1"
"5150","55015","1"
"5160","55016","1"
"5170","55017","1"
"5180","54001","1"
"5190","54002","1"
"5200","53003","1"
"5210","54004","1"
"5220","54005","1"
"5230","54006","1"
"5240","54007","1"
"5250","54008","1"
"5260","54009","1"
"5270","54010","1"
"5280","54011","1"
"5290","54012","1"
"5300","54013","1"
"5310","54014","1"
"5320","54015","1"
"5330","54016","1"
"5340","54017","1"
"5350","54018","1"
"5360","54019","1"
"5370","54020","1"
"5380","56021","1"
"5390","56001","1"
