"100",,"100","1","0"
"110",,"250","1","0"
"120",,"500","1","0"
"130",,"3000","1","0"
"200",,"10","1","0"
"210",,"10","1","0"
"220",,"10","1","0"
"300",,"20","1","0"
"310",,"20","1","0"
"320",,"20","1","0"
"400",,"100","1","0"
"500",,"120","1","0"
"510",,"120","1","0"
"600",,"250","1","0"
"610",,"300","1","0"
"700",,"1000","1","0"
"800",,"500","1","0"
"810",,"500","1","0"
"820",,"500","1","0"
"900",,"700","1","0"
"910",,"700","1","0"
"5000",,"200","1","0"
"5010",,"0","100","0"
"5020",,"0","25","0"
"5030",,"0","10","0"
"10010",,"500","1","0"
"10020",,"1500","1","0"
"10030",,"5000","1","0"
"11000",,"0","0","10"
"11010",,"0","0","5"
"11020",,"0","0","1"
"12000",,"0","0","10"
"12010",,"0","0","5"
"12020",,"0","0","1"
"13000",,"1000","0","0"
